Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
11;Ashcroft Module;Ashcroft;GQS-2  ;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM006;365;Pressure;;5812;;;;;;;Lab;Lab;0 - 15 PSIG;Working;;7/14/2022;;7/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
12;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM003;365;Pressure;;59240;;;;;;;Manufacturing;Manufacturing;0 - 5 PSIG;Working;;5/4/2022;;5/4/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
13;Emerson/Rosemont Pressure Transmitter;Emerson/Rosemont;3051SMV5M11A3R2E11A1AC12B4Q4;Calibration;Dave Niezgodzki;Balometer Lab;Active;;Internal;LW-FB01-FC01;365;Pressure;;0478665;;;;;;;Lab;Flow;0 - 7.5"WC;Working;;2/18/2017;;2/19/2016;Direct Impact;;;;;;;;;;;;;;;;False;Balometer Lab
14;Emerson/Rosemont RTD;Emerson/Rosemont;68D11N00N040XA;Calibration;Dave Niezgodzki;Balometer Lab;Active;;Internal;LW-FB01-FC01-RTD01;365;Temperature;;1730229;;;;;;;Lab;Temperature;55 - 85 F;Working;;2/18/2017;;2/19/2016;Direct Impact;;;;;;;;;;;;;;;;False;Balometer Lab
15;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-MFC002;365;Multi-Function Calibrator;;49945;;;;;;;Manufacturing;Manufacturing;Multi;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
16;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-PM004;365;Pressure;;39568;;;;;;;Manufacturing;Manufacturing;0 - 5" WC;Working;;10/30/2021;;10/30/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
17;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM005;365;Pressure;;60933;;;;;;;Manufacturing;Manufacturing;0 - 100 PSIG;Working;;4/19/2022;;4/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
18;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-MFC003;365;Multi-Function Calibrator;;49466;;;;;;;Manufacturing;Manufacturing;Multi;Working;;1/20/2022;;1/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
19;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM007;365;Pressure;;11077;;;;;;;Lab;Lab;0 - 10" WC;Working;;7/14/2022;;7/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
20;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM006;365;Pressure;;60804;;;;;;;Manufacturing;Manufacturing;0 - 12.5" WC;Working;;4/13/2022;;4/13/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
21;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;A2LA Accredited Lab;Active;;Callabco;LW-MFC003;365;Temperature & Pressure;;49974;;;;;;;Lab;Temperature & Pressure;Multi;Working;;12/9/2021;;12/9/2020;Direct Impact;;;;;;;;;;;;;;;;False;Molbloc
22;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM008;365;Pressure;;15361;;;;;;;Lab;Lab;0 - 100" WC;Working;;7/7/2022;;7/7/2021;Direct impact;;;;;;;;;;;;;;;;False;MC Lab
23;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM007;365;Pressure;;59241;;;;;;;Manufacturing;Manufacturing;0 - 300 PSIG;Working;;4/19/2022;;4/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
24;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM001;365;Pressure;;7999;;;;;;;Lab;Lab;0 - 15 PSIG;Working;;9/14/2022;;9/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
25;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM002;365;Pressure;;7798;;;;;;;Lab;Lab;+/- 2.5" WC;Working;;6/23/2022;;6/23/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
26;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM003;365;Pressure;;10672;;;;;;;Lab;Lab;+/- 25" WC;Working;;8/10/2022;;8/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
27;Ashcroft Module;Ashcroft;AQS-2;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM004;365;Pressure;;12303;;;;;;;Lab;Lab;0 - 15 PSIA;Working;;8/16/2022;;8/16/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
28;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM005;365;Pressure;;11078;;;;;;;Lab;Lab;0 - 100" WC;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
29;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-MFC001;182;Pressure;;51191;;;;;;;Lab;Lab;Multi;Working;;1/5/2022;;7/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
30;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-MFC001;365;Multi-Function Calibrator;;49468;;;;;;;Manufacturing;Manufacturing;Multi;Working;;10/8/2022;;10/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
31;Ashcroft Module;Ashcroft;GQS-1 ;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-PM001;365;Pressure;;39567;;;;;;;Manufacturing;Manufacturing;0 - 25" WC;Working;;10/30/2021;;10/30/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
32;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM002;365;Pressure;;33757;;;;;;;Manufacturing;Manufacturing;+/- 2.5" WC;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
33;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-MFC002;365;Pressure;;49314;;;;;;;Lab;Lab;Multi;Working;;8/25/2021;;8/25/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
34;Orifice Plate;Unknown;32.5MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP01;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;32.5 mm;Working;;3/19/2019;;3/19/2018;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
35;Orifice Plate;Unknown;45.0MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP02;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;45.0 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
36;Orifice Plate;Unknown;72.2MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP03;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;72.2 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
